c Energy offset 776.000000
c qubo topology maxNodes nNodes nCouplers
p qubo 0 65 65 0
c Fields
0 0 -57.000000
1 1 -57.000000
2 2 -57.000000
3 3 -57.000000
4 4 -57.000000
5 5 -57.000000
6 6 -57.000000
7 7 -57.000000
8 8 -57.000000
9 9 -57.000000
10 10 -57.000000
11 11 -57.000000
12 12 -57.000000
13 13 -57.000000
14 14 -57.000000
15 15 -57.000000
16 16 -57.000000
17 17 -57.000000
18 18 -57.000000
19 19 -57.000000
20 20 -57.000000
21 21 -57.000000
22 22 -57.000000
23 23 -57.000000
24 24 -57.000000
25 25 -57.000000
26 26 -57.000000
27 27 -57.000000
28 28 -57.000000
29 29 -57.000000
30 30 -57.000000
31 31 -57.000000
32 32 -57.000000
33 33 -57.000000
34 34 -57.000000
35 35 -57.000000
36 36 -57.000000
37 37 -57.000000
38 38 -57.000000
39 39 -57.000000
40 40 8.000000
41 41 8.000000
42 42 8.000000
43 43 8.000000
44 44 8.000000
45 45 8.000000
46 46 8.000000
47 47 8.000000
48 48 8.000000
49 49 8.000000
50 50 8.000000
51 51 8.000000
52 52 8.000000
53 53 8.000000
54 54 8.000000
55 55 8.000000
56 56 8.000000
57 57 8.000000
58 58 8.000000
59 59 8.000000
60 60 8.000000
61 61 8.000000
62 62 8.000000
63 63 8.000000
64 64 8.000000
c Couplings
0 1 4.000000
0 2 4.000000
0 3 4.000000
0 4 2.000000
0 5 2.000000
0 6 2.000000
0 7 2.000000
0 8 2.000000
0 9 2.000000
0 10 2.000000
0 11 2.000000
0 12 2.000000
0 13 2.000000
0 14 2.000000
0 15 2.000000
0 16 2.000000
0 17 2.000000
0 18 2.000000
0 19 2.000000
0 20 2.000000
0 21 2.000000
0 22 2.000000
0 23 2.000000
0 24 2.000000
0 25 2.000000
0 26 2.000000
0 27 2.000000
0 28 2.000000
0 29 2.000000
0 30 2.000000
0 31 2.000000
0 32 2.000000
0 33 2.000000
0 34 2.000000
0 35 2.000000
0 36 2.000000
0 37 2.000000
0 38 2.000000
0 39 2.000000
0 40 -3.000000
0 41 -3.000000
